time,x,y,force
1154,23,163,86.27
1155,23,164,14.12
1156,23,165,1.57
1157,23,162,7.84
1158,23,163,90.98
1159,23,164,15.69
1160,23,165,1.57
1161,23,162,7.84
1162,23,163,94.12
1163,23,164,17.25
1164,23,165,3.14
1165,23,166,1.57
1166,23,162,6.27
1167,23,163,90.98
1168,23,164,18.82
1169,23,165,3.14
1170,23,166,3.14
1171,23,162,4.71
1172,23,163,83.14
1173,23,164,18.82
1174,23,165,3.14
1175,23,166,3.14
1176,23,162,3.14
1177,23,163,69.02
1178,23,164,20.39
1179,23,165,3.14
1180,23,166,4.71
1181,23,162,3.14
1182,23,163,53.33
1183,23,164,20.39
1184,23,165,3.14
1185,23,166,4.71
1186,23,163,32.94
1187,23,164,18.82
1188,23,165,3.14
1189,23,166,6.27
1190,23,163,20.39
1191,23,164,17.25
1192,23,165,3.14
1193,23,166,6.27
1194,23,163,10.98
1195,23,164,14.12
1196,23,165,3.14
1197,23,166,6.27
1198,23,163,4.71
1199,23,164,10.98
1200,23,165,3.14
1201,23,166,6.27
1202,23,164,6.27
1203,23,165,3.14
1204,23,166,6.27
1205,23,164,3.14
1206,23,165,3.14
1207,23,166,4.71
1208,23,165,1.57
1209,23,166,4.71
1210,23,165,1.57
1211,23,166,3.14
1212,23,166,3.14
1213,23,166,1.57
1214,23,244,1.57
1215,23,245,3.14
1216,23,246,1.57
1217,23,248,1.57
1218,23,244,3.14
1219,23,245,6.27
1220,23,246,3.14
1221,23,247,1.57
1222,23,248,3.14
1223,23,249,4.71
1224,23,244,1.57
1225,23,245,6.27
1226,23,246,3.14
1227,23,247,1.57
1228,23,248,4.71
1229,23,249,7.84
1230,23,244,1.57
1231,23,245,6.27
1232,23,246,3.14
1233,23,247,1.57
1234,23,248,6.27
1235,23,249,14.12
1236,23,244,1.57
1237,23,245,6.27
1238,23,246,3.14
1239,23,247,1.57
1240,23,248,6.27
1241,23,249,17.25
1242,23,244,1.57
1243,23,245,6.27
1244,23,246,4.71
1245,23,247,3.14
1246,23,248,6.27
1247,23,249,18.82
1248,23,250,1.57
1249,23,244,1.57
1250,23,245,7.84
1251,23,246,4.71
1252,23,247,3.14
1253,23,248,6.27
1254,23,249,20.39
1255,23,250,3.14
1256,23,244,1.57
1257,23,245,7.84
1258,23,246,4.71
1259,23,247,3.14
1260,23,248,6.27
1261,23,249,21.96
1262,23,250,4.71
1263,23,244,1.57
1264,23,245,7.84
1265,23,246,4.71
1266,23,247,3.14
1267,23,248,6.27
1268,23,249,23.53
1269,23,250,6.27
1270,23,244,1.57
1271,23,245,7.84
1272,23,246,6.27
1273,23,247,3.14
1274,23,248,6.27
1275,23,249,23.53
1276,23,250,6.27
1277,23,244,1.57
1278,23,245,7.84
1279,23,246,6.27
1280,23,247,3.14
1281,23,248,7.84
1282,23,249,25.10
1283,23,250,7.84
1284,23,244,1.57
1285,23,245,9.41
1286,23,246,6.27
1287,23,247,4.71
1288,23,248,7.84
1289,23,249,25.10
1290,23,250,9.41
1291,23,244,3.14
1292,23,245,9.41
1293,23,246,6.27
1294,23,247,4.71
1295,23,248,7.84
1296,23,249,26.67
1297,23,250,9.41
1298,23,244,3.14
1299,23,245,10.98
1300,23,246,7.84
1301,23,247,4.71
1302,23,248,7.84
1303,23,249,28.24
1304,23,250,10.98
1305,23,244,3.14
1306,23,245,10.98
1307,23,246,7.84
1308,23,247,4.71
1309,23,248,7.84
1310,23,249,28.24
1311,23,250,10.98
1312,23,244,3.14
1313,23,245,12.55
1314,23,246,7.84
1315,23,247,4.71
1316,23,248,9.41
1317,23,249,29.80
1318,23,250,12.55
1319,23,244,3.14
1320,23,245,12.55
1321,23,246,9.41
1322,23,247,6.27
1323,23,248,9.41
1324,23,249,31.37
1325,23,250,12.55
1326,23,244,4.71
1327,23,245,14.12
1328,23,246,9.41
1329,23,247,6.27
1330,23,248,9.41
1331,23,249,32.94
1332,23,250,14.12
1333,23,244,3.14
1334,23,245,14.12
1335,23,246,9.41
1336,23,247,6.27
1337,23,248,9.41
1338,23,249,32.94
1339,23,250,14.12
1340,23,244,3.14
1341,23,245,14.12
1342,23,246,9.41
1343,23,247,6.27
1344,23,248,9.41
1345,23,249,34.51
1346,23,250,15.69
1347,23,244,3.14
1348,23,245,14.12
1349,23,246,10.98
1350,23,247,6.27
1351,23,248,10.98
1352,23,249,36.08
1353,23,250,15.69
1354,23,244,3.14
1355,23,245,14.12
1356,23,246,10.98
1357,23,247,6.27
1358,23,248,10.98
